

inf-power
        type  noise iteration   accuracy   ci_lower   ci_upper    avg acc
56  Proposed     10         5   20.512821  18.025003  31.671967  24.848485
9   Proposed     15         1   10.256410   9.546120  11.526141  10.536131
21  Proposed     15         2   10.955711   9.546120  11.526141  10.536131
33  Proposed     15         3    9.557110   9.546120  11.526141  10.536131
45  Proposed     15         4   11.655012   9.546120  11.526141  10.536131
57  Proposed     15         5   10.256410   9.546120  11.526141  10.536131
10  Proposed     20         1    2.564103   1.858290   4.854997   3.356643
22  Proposed     20         2    5.128205   1.858290   4.854997   3.356643
34  Proposed     20         3    3.030303   1.858290   4.854997   3.356643
46  Proposed     20         4    2.097902   1.858290   4.854997   3.356643
58  Proposed     20         5    3.962704   1.858290   4.854997   3.356643
11  Proposed     25         1    0.233100   0.358160   3.091724   1.724942
23  Proposed     25         2    2.564103   0.358160   3.091724   1.724942
35  Proposed     25         3    1.398601   0.358160   3.091724   1.724942
47  Proposed     25         4    1.398601   0.358160   3.091724   1.724942
59  Proposed     25         5    3.030303   0.358160   3.091724   1.724942
